"","id","y_2011","y_2012","y_2013","y_2014","y_2015"
"1",37081010100,23750,23949,23857,25024,24194
"2",37081010200,18666,16213,17070,17932,17453
"3",37081010300,35388,24390,33688,33810,32031
"4",37081010401,18790,18750,18869,NA,NA
"5",37081010403,65956,14892,55583,24219,46364
"6",37081010404,NA,114006,114492,125417,NA
"7",37081010500,13317,13380,NA,12802,NA
"8",37081010601,31750,30982,29637,30956,21739
"9",37081010602,18000,23611,24517,37852,38170
"10",37081010701,14286,18289,18125,14861,NA
"11",37081010702,NA,NA,NA,NA,10208
"12",37081010800,10156,10924,11875,13421,13929
"13",37081010900,9557,11418,11054,13393,17163
"14",37081011000,18846,18902,17478,20357,19327
"15",37081011101,21696,21801,23203,23056,20000
"16",37081011102,30703,29984,28907,29234,29209
"17",37081011200,15855,15893,19458,21127,30498
"18",37081011300,27661,28273,29297,29524,31002
"19",37081011400,14033,11842,11417,11257,10609
"20",37081011500,26061,28087,21550,25795,25659
"21",37081011601,30479,30972,30132,31944,30172
"22",37081011602,25714,27104,29167,31111,34904
"23",37081011904,25934,25812,31969,32547,35026
"24",37081011905,31507,32380,27316,25497,25333
"25",37081012503,83224,48125,49333,33889,33750
"26",37081012504,28961,32500,30757,26935,30026
"27",37081012505,NA,42159,70700,70721,70625
"28",37081012508,47917,40673,19948,14423,20078
"29",37081012509,NA,132708,85167,87917,73250
"30",37081012510,165469,167679,131667,145781,146771
"31",37081012511,75962,64000,66442,67391,87375
"32",37081012601,29022,30426,26531,18578,25325
"33",37081012604,34295,33772,38797,39398,38238
"34",37081012607,54306,58043,50969,47047,46705
"35",37081012608,25507,24728,25150,26324,20192
"36",37081012609,32418,31868,31654,31563,31386
"37",37081012610,55231,49539,60043,70227,61063
"38",37081012611,29896,29853,27586,28644,30750
"39",37081012612,33777,37088,36025,33013,36854
"40",37081012617,42857,42835,40729,47153,49063
"41",37081012703,31125,40202,40994,41454,42487
"42",37081012704,27705,23421,23047,22043,22188
"43",37081012705,37011,27140,24860,29306,28161
"44",37081012706,29362,26335,22018,20254,20524
"45",37081012707,29736,24648,24792,24006,24837
"46",37081012803,42807,47109,48088,49375,52061
"47",37081012804,39340,38447,35644,40764,40696
"48",37081012805,33636,34821,33719,36324,44003
"49",37081013601,30990,34291,31000,30750,29276
"50",37081013602,26000,37604,39866,25859,27351
"51",37081013700,39118,40909,43750,21250,30125
"52",37081013800,17003,16726,17788,24017,23526
"53",37081013900,10787,11820,11700,12467,13965
"54",37081014000,22083,41143,22000,16628,14551
"55",37081014200,24282,23176,22453,23393,20109
"56",37081014300,11765,11599,12083,15115,17121
"57",37081014406,40691,40875,39000,41270,40754
"58",37081014407,21071,22788,22550,27143,26508
"59",37081014408,34625,31272,25833,30114,27604
"60",37081014409,40329,19167,25279,20917,27500
"61",37081014410,33882,40075,36731,42778,38299
"62",37081014411,37438,36803,34495,35000,35132
"63",37081014412,34750,33438,46078,42596,36696
"64",37081014501,13516,13935,14375,35288,NA
"65",37081014502,27941,25509,28787,28450,29025
"66",37081014503,32154,28951,27695,28403,25018
"67",37081015100,58750,64375,61667,58929,46875
"68",37081015200,52778,44127,55849,46250,47156
"69",37081015300,58021,47344,49347,48901,51169
"70",37081015401,67063,73295,82863,73083,66510
"71",37081015402,28590,29257,28444,27612,27675
"72",37081015500,45323,40500,45250,47633,43802
"73",37081015600,66000,52406,50292,70500,53464
"74",37081015703,40781,45182,42922,45882,47234
"75",37081015704,58750,58917,44473,44449,42386
"76",37081015705,33194,25841,25287,27961,28286
"77",37081015706,58365,59943,57096,58346,76274
"78",37081015707,42854,37265,43916,48903,30600
"79",37081015800,75929,79526,112936,77697,NA
"80",37081015901,67645,49688,44583,58400,NA
"81",37081015902,60694,49297,83906,107639,108182
"82",37081016003,42188,NA,33438,43250,49830
"83",37081016005,40000,45294,48661,44792,NA
"84",37081016006,42478,49815,46563,39340,39784
"85",37081016007,51728,39221,38962,40319,36591
"86",37081016008,76500,86917,56201,54063,47955
"87",37081016009,98608,82386,104516,103750,102830
"88",37081016010,42478,41979,43918,43982,41471
"89",37081016011,37500,36455,38853,36410,38997
"90",37081016101,55536,33917,58646,53306,53333
"91",37081016102,26819,24500,28509,24611,27767
"92",37081016103,33625,23333,46696,42102,30590
"93",37081016201,123056,127656,NA,132857,135417
"94",37081016203,80721,104417,94226,125875,96544
"95",37081016204,123393,116591,104000,84881,82813
"96",37081016205,24913,38297,39274,39583,39496
"97",37081016303,60556,56908,55536,58350,NA
"98",37081016304,37386,73180,72552,76466,75982
"99",37081016305,71406,70833,70268,73375,76434
"100",37081016306,53668,55960,46635,44625,56387
"101",37081016405,40481,40184,41115,42882,42778
"102",37081016406,47750,58281,59063,60114,70508
"103",37081016407,56744,75234,79913,78384,78320
"104",37081016408,150093,82396,72273,67708,86458
"105",37081016409,32885,25909,30000,35568,46033
"106",37081016410,48639,48932,49837,49250,41906
"107",37081016502,87898,90500,51944,94479,71806
"108",37081016503,38675,40818,41883,49375,58698
"109",37081016505,61857,61089,62699,65699,41063
"110",37081016506,65395,69667,73056,71149,88036
"111",37081016600,7333,40329,40573,42857,NA
"112",37081016701,37530,47623,41933,45321,44866
"113",37081016702,NA,NA,NA,NA,NA
"114",37081016800,46017,47212,49364,52917,47222
"115",37081016900,91000,48036,107634,46042,36607
"116",37081017000,27375,92625,53194,53359,53633
"117",37081017100,95104,57212,56285,42058,101500
"118",37081017200,104212,68409,79306,90050,72389
"119",37081980100,NA,NA,NA,NA,NA
