id,y_2015
37081010100,314
37081010200,718
37081010300,268
37081010401,168
37081010403,73
37081010404,22
37081010500,221
37081010601,428
37081010602,634
37081010701,322
37081010702,363
37081010800,300
37081010900,492
37081011000,308
37081011101,807
37081011102,330
37081011200,548
37081011300,403
37081011400,733
37081011500,355
37081011601,265
37081011602,196
37081011904,632
37081011905,441
37081012503,260
37081012504,516
37081012505,29
37081012508,212
37081012509,10
37081012510,7
37081012511,0
37081012601,1193
37081012604,384
37081012607,22
37081012608,525
37081012609,991
37081012610,170
37081012611,500
37081012612,790
37081012617,314
37081012703,636
37081012704,539
37081012705,232
37081012706,475
37081012707,391
37081012803,290
37081012804,403
37081012805,222
37081013601,156
37081013602,345
37081013700,304
37081013800,388
37081013900,723
37081014000,556
37081014200,648
37081014300,491
37081014406,86
37081014407,636
37081014408,311
37081014409,346
37081014410,477
37081014411,620
37081014412,126
37081014501,173
37081014502,631
37081014503,508
37081015100,74
37081015200,441
37081015300,219
37081015401,62
37081015402,516
37081015500,474
37081015600,100
37081015703,285
37081015704,561
37081015705,603
37081015706,48
37081015707,507
37081015800,77
37081015901,100
37081015902,23
37081016003,60
37081016005,102
37081016006,315
37081016007,327
37081016008,151
37081016009,47
37081016010,302
37081016011,738
37081016101,313
37081016102,665
37081016103,757
37081016201,48
37081016203,213
37081016204,11
37081016205,231
37081016303,58
37081016304,7
37081016305,82
37081016306,419
37081016405,129
37081016406,208
37081016407,97
37081016408,20
37081016409,64
37081016410,178
37081016502,145
37081016503,680
37081016505,488
37081016506,114
37081016600,33
37081016701,376
37081016702,111
37081016800,340
37081016900,26
37081017000,91
37081017100,140
37081017200,133
37081980100,0
