id,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015
37081010100,212,268,294,288,267,314
37081010200,627,665,743,651,732,718
37081010300,270,210,305,336,307,268
37081010401,108,142,146,163,157,168
37081010403,40,57,62,84,82,73
37081010404,0,0,0,0,0,22
37081010500,160,147,181,272,273,221
37081010601,310,311,336,428,410,428
37081010602,700,735,812,699,753,634
37081010701,255,242,253,289,289,322
37081010702,274,306,275,299,301,363
37081010800,169,194,257,310,295,300
37081010900,455,480,491,547,577,492
37081011000,401,385,352,334,281,308
37081011101,492,607,719,727,729,807
37081011102,306,252,212,279,303,330
37081011200,758,805,775,713,633,548
37081011300,376,402,406,435,448,403
37081011400,864,752,824,702,799,733
37081011500,593,473,459,498,434,355
37081011601,279,307,241,293,232,265
37081011602,294,318,334,252,233,196
37081011904,764,719,750,578,648,632
37081011905,389,426,457,357,450,441
37081012503,125,147,182,236,270,260
37081012504,477,474,441,485,569,516
37081012505,7,11,10,17,14,29
37081012508,194,188,179,184,212,212
37081012509,0,10,10,12,9,10
37081012510,13,18,20,24,23,7
37081012511,17,0,0,0,0,0
37081012601,851,657,804,1036,1255,1193
37081012604,642,603,685,469,418,384
37081012607,62,42,21,35,27,22
37081012608,376,416,417,444,494,525
37081012609,585,674,755,933,938,991
37081012610,57,139,126,173,140,170
37081012611,339,382,348,405,484,500
37081012612,593,655,507,657,845,790
37081012617,354,344,349,403,352,314
37081012703,584,638,547,587,638,636
37081012704,313,415,348,344,456,539
37081012705,352,320,291,301,253,232
37081012706,447,387,398,485,445,475
37081012707,340,328,265,374,394,391
37081012803,413,468,399,460,361,290
37081012804,469,367,402,465,380,403
37081012805,117,133,181,202,234,222
37081013601,109,134,125,139,146,156
37081013602,411,408,381,373,417,345
37081013700,57,95,127,142,266,304
37081013800,555,497,557,608,487,388
37081013900,624,609,630,678,682,723
37081014000,520,418,375,448,532,556
37081014200,472,538,528,568,540,648
37081014300,527,464,551,526,485,491
37081014406,142,130,122,136,93,86
37081014407,438,447,431,379,503,636
37081014408,262,257,272,322,312,311
37081014409,195,193,259,346,345,346
37081014410,387,423,385,459,425,477
37081014411,471,593,528,610,532,620
37081014412,82,107,88,145,143,126
37081014501,202,203,172,154,159,173
37081014502,340,374,494,524,532,631
37081014503,372,379,393,413,459,508
37081015100,59,112,100,73,71,74
37081015200,259,368,341,381,440,441
37081015300,141,168,230,162,221,219
37081015401,80,73,29,34,46,62
37081015402,471,391,440,449,506,516
37081015500,325,355,405,423,423,474
37081015600,61,62,72,106,113,100
37081015703,356,387,229,262,236,285
37081015704,208,183,304,427,454,561
37081015705,448,460,583,707,668,603
37081015706,128,112,98,120,71,48
37081015707,422,370,376,452,425,507
37081015800,29,51,66,69,118,77
37081015901,94,114,103,91,109,100
37081015902,9,11,26,30,20,23
37081016003,56,27,42,54,68,60
37081016005,7,4,39,68,68,102
37081016006,279,267,275,291,242,315
37081016007,370,381,382,294,308,327
37081016008,115,105,111,137,136,151
37081016009,0,0,0,9,5,47
37081016010,200,168,222,271,275,302
37081016011,667,719,663,734,775,738
37081016101,386,355,301,325,393,313
37081016102,333,409,433,514,609,665
37081016103,636,546,560,571,593,757
37081016201,38,30,22,19,18,48
37081016203,183,215,272,311,242,213
37081016204,20,14,18,6,15,11
37081016205,253,283,258,346,296,231
37081016303,54,60,92,67,45,58
37081016304,24,42,34,26,6,7
37081016305,17,58,47,55,64,82
37081016306,115,178,211,318,522,419
37081016405,121,130,111,136,158,129
37081016406,260,231,232,291,318,208
37081016407,139,161,117,142,126,97
37081016408,16,21,30,44,44,20
37081016409,76,104,92,67,88,64
37081016410,237,222,129,126,256,178
37081016502,254,248,154,176,162,145
37081016503,464,407,491,517,576,680
37081016505,478,495,512,442,377,488
37081016506,0,40,68,68,131,114
37081016600,18,8,8,14,22,33
37081016701,182,197,135,245,334,376
37081016702,59,68,47,68,78,111
37081016800,336,260,279,318,325,340
37081016900,110,83,55,57,73,26
37081017000,60,90,100,98,113,91
37081017100,125,148,127,115,91,140
37081017200,156,82,113,115,106,133
37081980100,0,0,0,0,0,0
